Time_s	Heading_deg	Pitch_rad	Roll_rad	Yaw_rad	Lat	Long	Alt_m_AGL
1535745485.6	59.0	-0.0330019183457	-0.00709529127926	1.03271126747	34.9090879	-111.4387443	-1.99
1535745485.71	59.0	-0.0329870805144	-0.00703409127891	1.03286588192	34.9090879	-111.4387443	-1.99
1535745485.81	59.0	-0.0329799763858	-0.00702606048435	1.03300261497	34.9090879	-111.4387443	-1.99
1535745485.9	59.0	-0.0329408682883	-0.00702520506456	1.03309082985	34.9090877	-111.4387444	-1.99
1535745486.01	59.0	-0.0329237803817	-0.00704748975113	1.03318154812	34.9090877	-111.4387444	-1.99
1535745486.1	59.0	-0.0329518429935	-0.00705473218113	1.03328418732	34.9090877	-111.4387444	-1.99
1535745486.21	59.0	-0.0330219045281	-0.00706876674667	1.03341794014	34.9090876	-111.4387444	-2.0
1535745486.31	59.0	-0.0330597646534	-0.00706635322422	1.03352379799	34.9090875	-111.4387444	-2.0
1535745486.4	59.0	-0.0330942347646	-0.00712859723717	1.03365981579	34.9090875	-111.4387444	-2.0
1535745486.51	59.0	-0.0330904833972	-0.00714515149593	1.03380095959	34.9090875	-111.4387445	-2.01
1535745486.61	59.0	-0.0330737419426	-0.00718312896788	1.03390753269	34.9090875	-111.4387445	-2.01
1535745486.7	59.0	-0.0330720953643	-0.00722737936303	1.03402554989	34.9090874	-111.4387445	-2.01
1535745486.81	59.0	-0.0331037379801	-0.00727964984253	1.03417062759	34.9090874	-111.4387445	-2.02
1535745486.91	59.0	-0.0331246852875	-0.0073086284101	1.034258008	34.9090874	-111.4387445	-2.02
1535745487.0	59.0	-0.0331012234092	-0.00731781078503	1.03436493874	34.9090873	-111.4387445	-2.02
1535745487.11	59.0	-0.0331136584282	-0.00729323970154	1.03448450565	34.9090872	-111.4387446	-2.02
1535745487.21	59.0	-0.0330962315202	-0.00728407502174	1.03460776806	34.9090872	-111.4387446	-2.02
1535745487.31	59.0	-0.0330910347402	-0.0072803189978	1.03472936153	34.9090872	-111.4387446	-2.02
1535745487.4	59.0	-0.0331127494574	-0.00731072667986	1.0348418951	34.9090871	-111.4387446	-2.02
1535745487.51	59.0	-0.0331065952778	-0.00730094639584	1.03496360779	34.9090871	-111.4387446	-2.02
1535745487.6	59.0	-0.0331279188395	-0.00730897067115	1.03507232666	34.9090871	-111.4387446	-2.02
1535745487.71	59.0	-0.0331134237349	-0.00731435324997	1.03518629074	34.909087	-111.4387446	-2.01
1535745487.81	59.0	-0.0331443957984	-0.00734997168183	1.03528654575	34.909087	-111.4387446	-2.01
1535745487.9	59.0	-0.0331747308373	-0.0073924404569	1.03541147709	34.909087	-111.4387446	-2.01
1535745488.0	59.0	-0.0332357399166	-0.00740699283779	1.03553342819	34.909087	-111.4387445	-2.01
1535745488.11	59.0	-0.0332548581064	-0.0074010733515	1.03564226627	34.909087	-111.4387445	-2.01
1535745488.21	59.0	-0.033234320581	-0.00739739090204	1.03574860096	34.9090869	-111.4387446	-2.02
1535745488.31	59.0	-0.0332379341125	-0.00738737732172	1.0358607769	34.9090869	-111.4387446	-2.03
1535745488.4	59.0	-0.0332651436329	-0.00739556970075	1.03595614433	34.9090869	-111.4387446	-2.03
1535745488.5	59.0	-0.0332782529294	-0.00741064408794	1.03606164455	34.9090869	-111.4387446	-2.03
1535745488.61	59.0	-0.0332556776702	-0.00739774294198	1.03616714478	34.9090868	-111.4387446	-2.04
1535745488.71	59.0	-0.0332738794386	-0.00743823684752	1.03627514839	34.9090868	-111.4387446	-2.04
1535745488.8	59.0	-0.0332709886134	-0.00744880875573	1.03635001183	34.9090868	-111.4387446	-2.04
1535745488.91	59.0	-0.0332872159779	-0.00749857816845	1.03646469116	34.9090868	-111.4387446	-2.05
1535745489.0	59.0	-0.0332880876958	-0.00753467064351	1.03657114506	34.9090868	-111.4387446	-2.05
1535745489.11	59.0	-0.0332603082061	-0.00752204004675	1.03668510914	34.9090868	-111.4387446	-2.05
1535745489.21	59.0	-0.0332542099059	-0.00752339884639	1.03681659698	34.9090867	-111.4387446	-2.06
